GEOID_ZCTA,wht_pct,blk_pct
62062,91.47102897102897,3.8461538461538463
62070,41.66666666666667,0
62082,92.02476329206118,4.952658412235979
62084,94.80874316939891,1.1612021857923498
62085,94.27083333333334,0
62086,97.46634996041172,0
62674,97.85407725321889,0.14306151645207438
62253,99.82847341337907,0.17152658662092624
62223,75.23453307989453,21.711938193635415
62225,67.51170046801872,22.308892355694226
62239,95.3340402969247,2.735949098621421
62243,96.51423641069889,0.32786885245901637
62216,98.90590809628009,0.36469730123997085
62220,74.04108840563873,19.068954212654354
62230,97.11737537824494,0.07963051441312312
62255,94.52697419859265,0.9382329945269743
62258,91.98097914189992,2.8098994920566303
62257,99.21583271097835,0.18670649738610903
62269,77.72643541790252,12.651034999531674
62273,98.29931972789116,0
62275,98.75843454790824,0
62277,98.09244314013206,0
62572,95.93023255813954,2.9069767441860463
62014,96.87726942628903,0.2178649237472767
62018,95.55042847725774,1.845748187211602
62077,99.16666666666667,0
62063,99.72273567467653,0
62234,83.71985443779683,9.47387898599889
62098,100,0
62248,99.48849104859335,0
62282,95.8128078817734,0
62205,2.4978144123891597,95.391532409142
62286,85.1227495908347,11.162029459901799
62366,97.86028949024544,0
62560,97.5752508361204,0
62638,99.7800586510264,0
62640,97.34859056656433,0.08372871895060005
62685,92.67384105960265,3.5182119205298013
62672,98.0392156862745,0.49019607843137253
62093,94.54926624737946,0.41928721174004197
62206,35.090271807420145,60.882216784604196
62207,2.92830696735106,95.94973634017727
62626,93.60570687418937,2.8793774319066148
62649,99.66887417218543,0
62667,97.75280898876404,1.7977528089887642
62801,84.92818504010445,9.783622458496549
62058,96.69749009247028,0
62630,99.72602739726028,0.273972602739726
62047,94.52529452529453,1.0395010395010396
62053,99.52076677316293,0.3194888178913738
62061,98.38420107719928,0
62281,99.33628318584071,0
62293,98.23808448159023,0.112943302462164
62803,91.83673469387756,1.6697588126159555
62882,95.81064097193129,1.0473397570171765
62208,60.57762170016954,31.296924194720273
62214,94.68599033816425,0
62002,74.8156733957951,20.100453974693323
62009,98.34619625137817,0
62010,96.04649115083208,1.2063044818173814
62040,89.25483544184513,6.410347020990883
62050,100,0
62067,98.25771324863884,0
62074,96.7741935483871,0.8252063015753939
62079,100,0
62260,98.51451721809588,0.49966239027683995
62265,93.9193805511273,4.486449555909815
62278,96.97386519944979,0.03056701818737582
62295,95.86296056884292,0.06464124111182934
62284,100,0
62285,96.32551848512173,3.043282236248873
62289,98.29059829059828,0
63386,94.64285714285714,3.061224489795918
62226,72.59122305169888,21.74004046605735
62012,98.27264239028945,0.12449424214130098
62087,90.65377532228361,7.872928176795579
62201,22.404227212681636,65.08586525759577
62204,2.024138798089012,95.184812672869
62219,98.11320754716981,1.3626834381551363
62025,86.65520356716114,8.3641768425961
62027,94.93927125506073,0
62030,100,0
62031,98.26435246995995,0
62035,89.76392251815982,8.571428571428571
62045,100,0
62046,97.65929778933679,0
62048,99.50792782941498,0
62052,96.80279856817442,0.195248942401562
62069,98.15414507772022,0.6152849740932642
62088,99.5128634495357,0
62001,99.88864142538975,0
62006,100,0
62013,100,0
62019,98.21882951653944,0
62023,88.03418803418803,0
62024,93.91891891891892,2.843888664784187
62033,95.52602436323366,0.19933554817275745
62037,95.91836734693877,1.9954648526077097
62044,99.61795606494746,0
62690,98.99774492608368,0.20045101478326235
62875,97.1268954509178,1.0375099760574622
62060,38.22503270824248,58.220671609245535
62022,95.66037735849056,0
62036,100,0
62054,90.65300896286811,0
62081,100,0
62091,100,0
62092,98.53342428376534,1.0914051841746248
62016,98.28524768644529,0.7076755579749592
62021,100,0
62028,94.05785770132916,2.8928850664581707
62231,94.02904787520173,1.78859601936525
62249,95.62133230154124,1.599277745534275
62266,100,0
62271,96.23780771017185,2.4616813748258246
62294,93.66012608911241,2.1109300842955303
62059,1.991150442477876,98.00884955752213
62095,92.32902917264467,3.75896700143472
62097,94.90861618798957,0.1631853785900783
62215,90.8232826428946,1.415836392239119
62236,97.68844951660972,0.15991858690121394
62250,95.87852494577007,0
62264,98.95861148197596,0.507343124165554
62246,86.16377571601453,9.681323114158936
62262,91.28409846972721,5.455755156353959
62034,89.64659398551255,5.458403453574303
62056,97.3641240961045,1.562864473991136
62065,100,0
62090,3.557617942768755,93.27146171693735
62203,5.227492739593417,93.28412391093902
62217,92.64705882352942,0
62218,99.94505494505495,0
62221,67.29106147116765,24.752078533506964
62232,91.09619686800895,4.6234153616703955
62240,96.81528662420382,2.837290098436595
62244,99.44258639910814,0
62245,98.04964539007092,0
62254,79.75206611570248,17.84806102987921
62279,100,0
62298,97.73000963391137,0.3191233140655106
62355,97.61273209549071,0
63147,3.554168344744261,93.9085783326621
