GEOID_ZCTA,pvty_pct
63005,3.1512840641471347
63011,3.1627446897126195
63017,4.93951106872145
63021,4.080789946140036
63025,3.7915375189216465
63026,6.172955018596056
63031,9.700798303874695
63033,10.192811235420137
63034,8.443167736848034
63038,3.9282181715416136
63040,2.195536147501213
63042,12.611360008239354
63043,10.289550602849836
63044,12.749555248072742
63045,NaN
63049,11.768440494055177
63069,8.27639101938363
63074,14.18229680816058
63088,9.84968837834535
63101,15.642965204236006
63102,7.113316790736146
63103,17.75578518410712
63104,18.890236506973924
63105,8.615849708486287
63106,49.37171375100258
63107,37.80189381849133
63108,24.99867787825903
63109,7.010596975525135
63110,14.801422989444218
63111,35.195316249160186
63112,22.425654081577377
63113,33.779512920617215
63114,17.80778983958743
63115,34.742120343839545
63116,19.95173701224787
63117,6.618962432915922
63118,32.33995584988962
63119,4.531354540478073
63120,44.18685927306617
63121,22.697409716700843
63122,3.934913557067981
63123,8.534041715859898
63124,4.9139367018323155
63125,11.464695822135353
63126,5.33106960950764
63127,5.903065451532726
63128,4.269456181000409
63129,5.071416505565044
63130,15.321826681049982
63131,3.842409666151291
63132,8.77839626899353
63133,40.472198938250905
63134,16.677760520671548
63135,17.875069715560514
63136,24.32474594401854
63137,24.0072202166065
63138,18.84081902245707
63139,11.55095876618919
63140,50.36231884057971
63141,2.681739835749772
63143,12.891767655662347
63144,5.123492245835727
63146,7.233303264174268
63147,31.79056666298465
63155,NaN
63304,2.744191704172242
