GEOID_ZCTA,pvty_pct
62062,6.702412868632708
62070,58.333333333333336
62082,15.635939323220537
62084,16.530054644808743
62085,31.216931216931215
62086,16.389548693586697
62674,15.866084425036389
62253,22.81303602058319
62223,9.300137965634015
62225,5.19222271321255
62239,13.764581124072112
62243,5.812929364100757
62216,5.209513023782559
62220,14.619220308250227
62230,3.002906038101388
62255,4.735152487961477
62258,6.3825160378384265
62257,11.18593340815563
62269,6.1608402570935885
62273,10.884353741496598
62275,6.966657630794253
62277,9.632352941176471
62572,8.200000000000001
62014,12.342386032977691
62018,25.24719841793013
62077,18.333333333333332
62063,13.216266173752311
62234,13.387656463006566
62098,0
62248,10.230179028132993
62282,8.866995073891626
62205,32.1567642255998
62286,13.065998329156223
62366,19.543147208121827
62560,7.027942421676546
62638,9.185185185185185
62640,7.17347813661046
62685,8.126315789473685
62672,14.215686274509803
62093,27.912087912087912
62206,36.437546193643755
62207,43.6062974289274
62626,16.077170418006432
62649,13.90728476821192
62667,14.545454545454545
62801,21.017768899169383
62058,13.014608233731739
62630,10.05586592178771
62047,15.638766519823788
62053,31.386861313868614
62061,7.899461400359066
62281,3.6544850498338874
62293,5.463613693040127
62803,9.70873786407767
62882,22.77894736842105
62208,10.432832201745876
62214,4.1062801932367154
62002,22.942716857610474
62009,19.140625
62010,7.8778570783268584
62040,17.868063621494773
62050,25.70621468926554
62067,6.762219772142594
62074,6.536438767843726
62079,60.245901639344254
62260,5.395095367847412
62265,5.333333333333334
62278,7.872307453897412
62295,3.6387264457439894
62284,15.934065934065933
62285,4.159007352941177
62289,28.818443804034583
63386,12.244897959183673
62226,12.888160005704302
62012,5.355740537144652
62087,31.315042573320717
62201,48.865897333863906
62204,45.534591194968556
62219,16.142557651991616
62025,11.355158219706714
62027,5.668016194331984
62030,23.846153846153847
62031,11.214953271028037
62035,9.688392152098647
62045,6.75990675990676
62046,5.46875
62048,16.741071428571427
62052,9.831813237385994
62069,9.32642487046632
62088,12.017233420526235
62001,2.550415183867141
62006,2.4489795918367347
62013,9.7953216374269
62019,16.030534351145036
62023,11.304347826086957
62024,12.842361533779673
62033,20.600858369098713
62037,13.613290263036456
62044,12.746512746512748
62690,6.095383830655445
62875,9.98389694041868
62060,30.440470998691673
62022,9.716981132075473
62036,7.4719800747198
62054,9.73111395646607
62081,14.825581395348838
62091,23.157894736842106
62092,20.694493160294634
62016,9.357384441939121
62021,4.565217391304348
62028,8.92608089260809
62231,10.789293067947838
62249,8.99836867862969
62266,0
62271,7.797087834664161
62294,5.863500619127395
62059,42.47787610619469
62095,20.7519387454599
62097,7.778510217534608
62215,15.052631578947368
62236,6.843493552168815
62250,8.459869848156181
62264,11.978319783197831
62246,15.632633121641426
62262,16.633399866932802
62034,7.0106017619829775
62056,18.97411541201615
62065,0
62090,29.393223010244284
62203,26.096216487095962
62217,19.6524064171123
62218,2.0396912899669237
62221,10.068910149193819
62232,17.72519083969466
62240,17.02374059061957
62244,5.027932960893855
62245,8.037825059101655
62254,15.145924186514591
62279,100
62298,3.5291259187268422
62355,27.453580901856768
63147,31.79056666298465
